type,entry_date,exit_date,entry_price,exit_price,qty,remaining_qty,entry_value,entry_balance,pnl,gross_pnl,entry_fee,exit_fee,capital_after,favorable,adverse,exit_reason,leverage,partial_sells,had_partial_sells,open
Long,2015-10-24,2017-01-12,276.5039978027344,775.177978515625,36.165842372862464,36.165842372862464,10000.0,10000.0,17996.929617328347,18034.96458191026,10.0,28.03496458191026,27996.929617328347,33077.13396736135,0.0,Exit Only (no partials),1.0,[],False,
Long,2017-03-02,2017-03-19,1224.6800537109375,976.72998046875,22.860607170414887,22.860607170414887,27996.929617328347,27996.929617328347,-5718.61479227764,-5668.289222265248,27.996929617328348,22.3286403950631,22278.314825050707,1271.7356885142387,-6104.354187800328,Exit Only (no partials),1.0,[],False,
Long,2017-05-05,2018-01-17,1540.8699951171875,11431.099609375,14.458270260078871,0.18183477188037794,22278.314825050707,22278.314825050707,59298.47435240596,1798.3876457531276,22.278314825050707,2.0785713898125806,81576.78917745667,3372.6949882454596,-1.9201636488105291,Signal (->Short),1.0,"[{'date': datetime.datetime(2017, 8, 5, 0, 0), 'price': 2897.6298828125, 'qty_sold': 1.7349924312094644, 'remaining_qty': 12.723277828869406, 'realized_pnl': 2348.940770204844, 'entry_price': 1540.8699951171875, 'trade_entry_date': datetime.datetime(2017, 5, 5, 0, 0), 'pct_sold': 12.0}, {'date': datetime.datetime(2017, 8, 12, 0, 0), 'price': 3650.6298828125, 'qty_sold': 1.5267933394643287, 'remaining_qty': 11.196484489405078, 'realized_pnl': 3215.5935870122853, 'entry_price': 1540.8699951171875, 'trade_entry_date': datetime.datetime(2017, 5, 5, 0, 0), 'pct_sold': 12.0}, {'date': datetime.datetime(2017, 8, 19, 0, 0), 'price': 4137.75, 'qty_sold': 1.3435781387286094, 'remaining_qty': 9.852906350676468, 'realized_pnl': 3483.5518130184673, 'entry_price': 1540.8699951171875, 'trade_entry_date': datetime.datetime(2017, 5, 5, 0, 0), 'pct_sold': 12.0}, {'date': datetime.datetime(2017, 8, 26, 0, 0), 'price': 4372.06005859375, 'qty_sold': 1.1823487620811761, 'remaining_qty': 8.670557588595292, 'realized_pnl': 3342.2847669700172, 'entry_price': 1540.8699951171875, 'trade_entry_date': datetime.datetime(2017, 5, 5, 0, 0), 'pct_sold': 12.0}, {'date': datetime.datetime(2017, 9, 2, 0, 0), 'price': 4901.419921875, 'qty_sold': 1.7341115177190585, 'remaining_qty': 6.936446070876234, 'realized_pnl': 5819.06872512096, 'entry_price': 1540.8699951171875, 'trade_entry_date': datetime.datetime(2017, 5, 5, 0, 0), 'pct_sold': 20.0}, {'date': datetime.datetime(2017, 10, 9, 0, 0), 'price': 4614.52001953125, 'qty_sold': 1.3872892141752469, 'remaining_qty': 5.5491568567009875, 'realized_pnl': 4257.639853167422, 'entry_price': 1540.8699951171875, 'trade_entry_date': datetime.datetime(2017, 5, 5, 0, 0), 'pct_sold': 20.0}, {'date': datetime.datetime(2017, 10, 16, 0, 0), 'price': 5687.56982421875, 'qty_sold': 1.1098313713401975, 'remaining_qty': 4.43932548536079, 'realized_pnl': 4595.825314450344, 'entry_price': 1540.8699951171875, 'trade_entry_date': datetime.datetime(2017, 5, 5, 0, 0), 'pct_sold': 20.0}, {'date': datetime.datetime(2017, 10, 23, 0, 0), 'price': 6006.0, 'qty_sold': 0.887865097072158, 'remaining_qty': 3.551460388288632, 'realized_pnl': 3959.1005674520684, 'entry_price': 1540.8699951171875, 'trade_entry_date': datetime.datetime(2017, 5, 5, 0, 0), 'pct_sold': 20.0}, {'date': datetime.datetime(2017, 10, 30, 0, 0), 'price': 6114.85009765625, 'qty_sold': 0.7102920776577264, 'remaining_qty': 2.8411683106309056, 'realized_pnl': 3244.5185006171414, 'entry_price': 1540.8699951171875, 'trade_entry_date': datetime.datetime(2017, 5, 5, 0, 0), 'pct_sold': 20.0}, {'date': datetime.datetime(2017, 11, 6, 0, 0), 'price': 7403.22021484375, 'qty_sold': 0.5682336621261811, 'remaining_qty': 2.2729346485047244, 'realized_pnl': 3326.97797508724, 'entry_price': 1540.8699951171875, 'trade_entry_date': datetime.datetime(2017, 5, 5, 0, 0), 'pct_sold': 20.0}, {'date': datetime.datetime(2017, 11, 16, 0, 0), 'price': 7323.240234375, 'qty_sold': 0.4545869297009449, 'remaining_qty': 1.8183477188037795, 'realized_pnl': 2625.2608841647198, 'entry_price': 1540.8699951171875, 'trade_entry_date': datetime.datetime(2017, 5, 5, 0, 0), 'pct_sold': 20.0}, {'date': datetime.datetime(2017, 11, 24, 0, 0), 'price': 8074.02001953125, 'qty_sold': 0.36366954376075594, 'remaining_qty': 1.4546781750430235, 'realized_pnl': 2372.971413522416, 'entry_price': 1540.8699951171875, 'trade_entry_date': datetime.datetime(2017, 5, 5, 0, 0), 'pct_sold': 20.0}, {'date': datetime.datetime(2017, 12, 1, 0, 0), 'price': 10198.599609375, 'qty_sold': 0.7273390875215118, 'remaining_qty': 0.7273390875215118, 'realized_pnl': 6289.687317508367, 'entry_price': 1540.8699951171875, 'trade_entry_date': datetime.datetime(2017, 5, 5, 0, 0), 'pct_sold': 50.0}, {'date': datetime.datetime(2017, 12, 8, 0, 0), 'price': 17802.900390625, 'qty_sold': 0.3636695437607559, 'remaining_qty': 0.3636695437607559, 'realized_pnl': 5907.530801895195, 'entry_price': 1540.8699951171875, 'trade_entry_date': datetime.datetime(2017, 5, 5, 0, 0), 'pct_sold': 50.0}, {'date': datetime.datetime(2017, 12, 15, 0, 0), 'price': 16601.30078125, 'qty_sold': 0.18183477188037794, 'remaining_qty': 0.18183477188037794, 'realized_pnl': 2735.491302676205, 'entry_price': 1540.8699951171875, 'trade_entry_date': datetime.datetime(2017, 5, 5, 0, 0), 'pct_sold': 50.0}]",True,
Short,2018-01-17,2018-07-25,11431.099609375,8379.66015625,7.136390370577561,7.136390370577561,81576.78917745667,81576.78917745667,21634.885814456473,21776.26312968171,81.57678917745667,59.800526047774966,103211.67499191314,39997.25184335887,-11931.333848221113,Signal (->Long),1.0,[],,
Long,2018-07-25,2018-08-08,8379.66015625,6284.7451171875,12.316928499174557,12.316928499174557,103211.67499191314,103211.67499191314,-25983.53917921413,-25802.918747978285,103.21167499191314,77.40875624393486,77228.13581269901,458.31242832426574,-26523.76578556743,Stop Loss,1.0,[],False,
Long,2019-02-24,2019-10-24,4145.4580078125,7509.72802734375,18.629578605586023,18.629578605586023,77228.13581269901,77228.13581269901,62457.80157486917,62674.93277927385,77.22813581269901,139.90306859197284,139685.93738756818,179794.64529684212,-7669.951242329157,Exit Only (no partials),1.0,[],False,
Long,2020-01-29,2020-03-12,9357.470703125,7018.10302734375,14.927745094720839,14.927745094720839,139685.93738756818,139685.93738756818,-35165.93473732029,-34921.484346892044,139.68593738756817,104.76445304067613,104520.00265024789,16422.85206436397,-67131.81174714987,Stop Loss,1.0,[],False,
Long,2020-05-08,2021-05-20,9936.162109375,36753.66796875,10.519152314516974,10.519152314516974,104520.00265024789,104520.00265024789,281606.29139608634,282097.42883021705,104.52000265024789,386.6174314804649,386126.2940463342,577784.8011872348,-16429.22093467796,Exit Only (no partials),1.0,[],False,
Long,2021-08-10,2021-11-27,46280.84765625,53736.4296875,8.343111969648417,2.1171096483580265,386126.2940463342,386126.2940463342,51826.192407141614,15784.284652484108,386.12629404633424,113.76591375971894,437952.48645347584,47653.54968719568,-13746.897414322064,Signal (->Short),1.0,"[{'date': datetime.datetime(2021, 8, 10, 0, 0), 'price': 46280.84765625, 'qty_sold': 1.00117343635781, 'remaining_qty': 7.341938533290607, 'realized_pnl': -46.33515528556011, 'entry_price': 46280.84765625, 'trade_entry_date': datetime.datetime(2021, 8, 10, 0, 0), 'pct_sold': 12.0}, {'date': datetime.datetime(2021, 8, 20, 0, 0), 'price': 46723.12109375, 'qty_sold': 0.8810326239948728, 'remaining_qty': 6.460905909295734, 'realized_pnl': 348.4927331854006, 'entry_price': 46280.84765625, 'trade_entry_date': datetime.datetime(2021, 8, 10, 0, 0), 'pct_sold': 12.0}, {'date': datetime.datetime(2021, 9, 5, 0, 0), 'price': 49937.859375, 'qty_sold': 1.2921811818591469, 'remaining_qty': 5.1687247274365875, 'realized_pnl': 4660.992962660422, 'entry_price': 46280.84765625, 'trade_entry_date': datetime.datetime(2021, 8, 10, 0, 0), 'pct_sold': 20.0}, {'date': datetime.datetime(2021, 10, 5, 0, 0), 'price': 49174.9609375, 'qty_sold': 1.0337449454873175, 'remaining_qty': 4.13497978194927, 'realized_pnl': 2940.940608846226, 'entry_price': 46280.84765625, 'trade_entry_date': datetime.datetime(2021, 8, 10, 0, 0), 'pct_sold': 20.0}, {'date': datetime.datetime(2021, 10, 12, 0, 0), 'price': 57526.83203125, 'qty_sold': 0.8269959563898541, 'remaining_qty': 3.307983825559416, 'realized_pnl': 9252.80914627472, 'entry_price': 46280.84765625, 'trade_entry_date': datetime.datetime(2021, 8, 10, 0, 0), 'pct_sold': 20.0}, {'date': datetime.datetime(2021, 10, 19, 0, 0), 'price': 62043.1640625, 'qty_sold': 0.6615967651118833, 'remaining_qty': 2.646387060447533, 'realized_pnl': 10387.24998840391, 'entry_price': 46280.84765625, 'trade_entry_date': datetime.datetime(2021, 8, 10, 0, 0), 'pct_sold': 20.0}, {'date': datetime.datetime(2021, 11, 8, 0, 0), 'price': 63344.06640625, 'qty_sold': 0.5292774120895066, 'remaining_qty': 2.1171096483580265, 'realized_pnl': 8997.64967837842, 'entry_price': 46280.84765625, 'trade_entry_date': datetime.datetime(2021, 8, 10, 0, 0), 'pct_sold': 20.0}]",True,
Short,2021-11-27,2022-11-09,53736.4296875,18543.76171875,8.150010877171301,8.150010877171301,437952.48645347584,437952.48645347584,286231.54239582556,286820.6267419905,437.95248645347584,151.13185971148528,724184.0288493014,310138.3729502224,-43822.38563469016,MVRV+RSI Exit,1.0,[],,
Long,2023-01-14,2025-10-17,19910.537109375,108179.1328125,109.1156945999686,65.86136033498425,2172552.086547904,724184.0288493014,10044133.047648273,5813489.787866559,2172.5520865479043,7124.824846890181,10768317.076497575,7000241.5234076185,-18591.55575752918,Signal (->Short),3.0,"[{'date': datetime.datetime(2025, 7, 10, 0, 0), 'price': 111329.1953125, 'qty_sold': 5.455784729998431, 'remaining_qty': 103.65990986997018, 'realized_pnl': 498153.13133776624, 'entry_price': 19910.537109375, 'trade_entry_date': datetime.datetime(2023, 1, 14, 0, 0), 'pct_sold': 5.0}, {'date': datetime.datetime(2025, 7, 17, 0, 0), 'price': 118738.5078125, 'qty_sold': 5.18299549349851, 'remaining_qty': 98.47691437647167, 'realized_pnl': 511609.5056350027, 'entry_price': 19910.537109375, 'trade_entry_date': datetime.datetime(2023, 1, 14, 0, 0), 'pct_sold': 5.0}, {'date': datetime.datetime(2025, 7, 27, 0, 0), 'price': 117944.7265625, 'qty_sold': 4.923845718823584, 'remaining_qty': 93.55306865764808, 'realized_pnl': 482124.48240016703, 'entry_price': 19910.537109375, 'trade_entry_date': datetime.datetime(2023, 1, 14, 0, 0), 'pct_sold': 5.0}, {'date': datetime.datetime(2025, 8, 13, 0, 0), 'price': 120168.9765625, 'qty_sold': 11.22636823891777, 'remaining_qty': 82.32670041873031, 'realized_pnl': 1124189.099178238, 'entry_price': 19910.537109375, 'trade_entry_date': datetime.datetime(2023, 1, 14, 0, 0), 'pct_sold': 12.0}, {'date': datetime.datetime(2025, 10, 2, 0, 0), 'price': 118652.3828125, 'qty_sold': 16.465340083746064, 'remaining_qty': 65.86136033498425, 'realized_pnl': 1623864.4181639783, 'entry_price': 19910.537109375, 'trade_entry_date': datetime.datetime(2023, 1, 14, 0, 0), 'pct_sold': 20.0}]",True,
Short,2025-10-17,2026-06-15,108179.1328125,66148.1171875,99.54153630683668,99.54153630683668,10768317.076497575,10768317.076497575,4166479.065564012,4183831.867849157,10768.317076497575,6584.485208648418,14934796.142061587,4884524.572453417,-805707.0812373412,Open,1.0,[],,True
